LocalGovernment,Amount,SpendingGroup,SpendingSubgroup,ProjectOverview,TreasuryEligibleUseGroup,TreasuryEligibleUseSubgroup,City_or_County,State
"Washington, DC","$5,000,000",Housing,Other Housing,"In partnership with the Building Blocks DC gun violence prevention initiative, DHCD will work to create change in the neighborhoods most affected by violence through blight reduction and enhancing vibrancy. The funds will be used to identify and implement strategies to bring vacant and blighted properties in those same neighborhoods back into productive use, possibly as affordable housing, community space, or other neighborhood serving uses.",Services to Disproportionately Impacted Communities,Housing Support: Affordable Housing,Washington,DC
"Washington, DC","$21,625,425",Housing,Other Housing,"Over the next five years DOEE, in partnership the DC Green Bank, will make transformative financial investments to expand capital for DC Green Bank to support construction loans for underresourced buildings that are required to comply with BEPS.",Revenue Replacement,Provision of Government Services,Washington,DC
"Washington, DC","$7,100,000",Housing,Other Housing,This investment will establish a flexible housing assistance program to assist victims of gun violence or residents at risk of gun violence with relocation and to offer short- or medium- term housing stabilization to assist in violence intervention.,Services to Disproportionately Impacted Communities,Housing Support: Other Housing Assistance,Washington,DC
"Washington, DC","$7,780,000",Housing,Other Housing,This investment will establish emergency housing to address immediate safety needs for residents at risk of gun violence AND establish a flexible housing assistance program to assist victims of gun violence or residents at risk of gun violence with relocation and to offer short- or medium-term housing stabilization to assist in violence intervention.,Services to Disproportionately Impacted Communities,Housing Support: Other Housing Assistance,Washington,DC
"Washington, DC","$17,000,000",Housing,Other Housing,"This investment will increase access to housing for domestic violence victims/survivors. This includes acquisition of new properties (i.e., purchase), expanding existing properties, renovation/rehabilitation/repair of property to maintain units of housing, rental assistance (including security deposit, first/last month’s rent, eviction prevention, etc.), and providing hotel stays. Funds may also be used to temporarily expand services for domestic violence victims/survivors to meet increased levels of need in relation to the COVID-19 pandemic.",Services to Disproportionately Impacted Communities,Housing Support: Other Housing Assistance,Washington,DC
"Washington, DC","$500,000",Housing,Other Housing,"This investment will provide a partial subsidy of certain security improvement costs for private property owners to encourage increased safety in Building Blocks DC neighborhoods. This includes funding for lighting, fencing, and other security enhancements to properties.",Revenue Replacement,Provision of Government Services,Washington,DC
"Washington, DC","$4,500,000",Housing,Other Housing,This investment will provide additional funding for down payment assistance for DC Government employees.,Revenue Replacement,Provision of Government Services,Washington,DC
"Washington, DC","$700,000",Housing,Other Housing,This investment will provide LGBTQ+ residents with targeted services and dedicated emergency shelter housing which will increase access to shelter and housing for LGBTQ+ domestic violence victims/survivors in the District.,Services to Disproportionately Impacted Communities,Housing Support: Services for Unhoused Persons,Washington,DC
"Washington, DC","$2,550,000",Housing,Other Housing,This project will establish a housing program specifically for transgender and gender nonconforming (T/GNC) adults facing barriers to obtaining housing and who have aged out of T/GNC youth programs.,Services to Disproportionately Impacted Communities,Housing Support: Services for Unhoused Persons,Washington,DC
"Washington, DC","$5,500,000",Housing,Rental Assistance,"The Emergency Rental Assistance Program (ERAP) helps District residents who earn less than 40% of the Area Median Income meet overdue rent payments, security deposits, and first month rent down payments. This funding will increase the amount of money available for this program, allowing more District residents to find housing or stay in their homes throughout the year.",Negative Economic Impacts,"Household Assistance: Rent, Mortgage, and Utility Aid",Washington,DC
"Washington, DC","$3,924,459",Infrastructure,Broadband,"This investment will close the digital divide providing means equity for all residents to access previously unreachable opportunities online including career and education pathways, telehealth options and connections to friends and family. Consistent with the Mayor's proposed budget, Council approved funding starting in FY22 towards addressing the digital divide by expanding device access through providing laptops and tablets to DC households, including seniors, returning citizens, families in TANF and SNAP programs, adults in workforce training programs, and residents experiencing housing insecurity or living in temporary shelters; and providing free support and training for residents to help navigate these new devices.",Revenue Replacement,Provision of Government Services,Washington,DC
"Washington, DC","$5,328,443",Infrastructure,Green Infrastructure,ARPA funds intended for BEPS programs at DCHA properties.,Revenue Replacement,Provision of Government Services,Washington,DC
"Washington, DC","$16,489,688",Infrastructure,Green Infrastructure,"Over the next five years DOEE, in partnership with the DC Sustainable Energy Utility (DCSEU), will grant funding provided to under-resourced buildings (senior care facilities, hospitals, K-12 schools, universities, hospitals, worship facilities) so they can conduct energy audits and pre-development design and construction work to allow them to secure a Green Bank-supported construction loan which will lead to deep energy savings.",Revenue Replacement,Provision of Government Services,Washington,DC
"Washington, DC","$17,500,000",Infrastructure,Green Infrastructure,"Solar for All will install more community solar across the District, enroll an additional 3,800 low- and moderate-income households in solar energy assistance and will eliminate 15,000 metric tonnes of carbon emissions annually. This funding also compensates for SPR revenue loss due to pandemic impacts, enabling the Renewable Energy Development Fund (REDF) to continue current investment levels for Solar for All and fully capitalize the Green Bank, which will leverage those funds many times over to further green transition efforts. This project will partner with the DC Sustainable Energy Utility (DCSEU) and District agencies to support community renewable energy facilities (CREF) that will provide energy benefits. By providing low- and moderate-income residents with electric utility bill assistance in $500 per year in Pepco bill credits, Solar for All will mitigate some of the impending electricity shut-offs poised to occur after the Public Health Emergency ends. In addition, these investments will make utility bills more affordable for residents who are struggling to pay them. At the same time, the program invests in renewable energy and mitigates our current and future GHG emissions.",Negative Economic Impacts,"Household Assistance: Rent, Mortgage, and Utility Aid",Washington,DC
"Washington, DC","$14,000,000",Infrastructure,Green Infrastructure,"This program will provide additional investment in the energy efficiency and health and safety of low-income households in the District. By replacing aging systems, improving air flow, and improving the insulation within a home, weatherization provides a direct service which leads to safer and healthier housing in the District.",Negative Economic Impacts,Household Assistance: Cash Transfers,Washington,DC
"Washington, DC","$24,883,389",Infrastructure,Green Infrastructure,"Through this effort DOEE will take on the maintenance of all District-owned green infrastructure (GI) to standardize maintenance procedures, create an economy of scale in contracting, and establish one responsible agency for the maintenance of GI. Furthermore this enhancement will work to address inequity in GI jobs by taking on the problem holistically. This effort will utilize GI training standards it helped create; fully fund GI training programs employing these standards for targeted District populations; create pathways between Anacostia High School, ONSE’s Pathways Program, training programs and GI jobs; and set requirements for GI maintenance grantees and contractors that they hire a set percentage of District residents trained in GI maintenance to District standards.",Negative Economic Impacts,"Job Training Assistance (e.g., Sectoral job-training, Subsidized Employment, Employment Supports or Incentives)",Washington,DC
"Washington, DC","$15,000,000",Infrastructure,Other Infrastructure,"This program will provide additional investment in the remediation of lead and mold hazards in lowincome households in the District. By reducing these hazards, which often result in deferrals for the weatherization program, DOEE will be able to provide a direct service to vulnerable residents, which leads to safer and healthier housing in the District.",Services to Disproportionately Impacted Communities,Social Determinants of Health: Other,Washington,DC
"Washington, DC","$30,000,000",Infrastructure,Other Infrastructure,"This program will provide additional investment in the replacement of lead pipes in the District. This funding will be utilized to provide assistance for the replacement of the private-side of lead service lines, but under the Partial Replacement Assistance Program, the Capital Improvement Project program, and the Emergency Repair and Replacement program.",Infrastructure,Drinking water: Transmission & Distribution: Lead Remediation,Washington,DC
"Washington, DC","$1,750,000",Infrastructure,Public Space,"This investment will allow DDOT to host a signature Open Streets event on 7th Street NW from Florida Avenue to The Wharf, closing down the street to traffic and working with local businesses to offer wellness, fitness, and family fun activities.",Revenue Replacement,Provision of Government Services,Washington,DC
"Washington, DC","$1,730,044",Infrastructure,Public Space,"This investment will allow DDOT to host one Open Streets event in each ward, closing down the street to traffic and working with local businesses to offer wellness, fitness, and family fun activities.",Revenue Replacement,Provision of Government Services,Washington,DC
"Washington, DC","$8,750,000",Infrastructure,Public Space,"This investment will support reclamation of street space for public use through the creation of temporary public realm activations supported by recurring monthly street closures on Black Lives Matter Plaza, Pennsylvania Ave NW, 18th St NW, 7th St NW, and F St NW and, where appropriate, permanent street right-of-way infrastructure. Funding will be used for contracts and for grants to Business Improvement Districts, and the effort will be aligned with DDOT’s Open Streets project.",Revenue Replacement,Provision of Government Services,Washington,DC
"Washington, DC","$20,500,000",Infrastructure,Public Transportation,"Invest in landmark transit hubs in underserved areas – Ward 7 & Ward 8 hubs offering last mile connection via DC Connect, Capital Bikeshare, micromobility, rideshare, and taxis. This investment would develop two transit hub locations in Wards 7 and 8, expanding connections to and from the hubs, and other metro and bus stations by safe walkways. Hubs will be multi-modal centers of transportation, creating service points for last-mile connections by bus, DC Neighborhood Connect, capital bike share, scooters, mopeds, ride hailing and taxi services. DDOT will conduct a feasibility assessment to determine the viability of the location as a transit hub.",Revenue Replacement,Provision of Government Services,Washington,DC
"Washington, DC","$50,460,000",Infrastructure,Public Transportation,"This investment will allow DDOT to (1) install 80 new stations to meet its strategic goal of providing all residents access to a CaBi station within a quarter mile of their home; and (2) replace approximately 35 existing stations/2,500 bicycles that have exceeded their useful lives with new electrified stations and an ebike fleet.",Revenue Replacement,Provision of Government Services,Washington,DC
"Washington, DC","$9,353,000",Infrastructure,Public Transportation,This investment will allow DDOT to replace bicycles not tied to station replacements.,Revenue Replacement,Provision of Government Services,Washington,DC
"Washington, DC","$2,816,748",Infrastructure,Public Transportation,"This project will expand the DC Neighborhood Connect microtransit service to new zones connecting Union Station, Ivy City, and Fort Lincoln.",Revenue Replacement,Provision of Government Services,Washington,DC
"Washington, DC","$20,910,583",Infrastructure,Public Transportation,"This project will provide transportation services to DC public school and DC charter school students East of the River in Safe Passage areas. The program will pick up students from microstops in the mornings and transport them to school. In the afternoons, the students will be picked up from the school and transported back to the microstops.",Revenue Replacement,Provision of Government Services,Washington,DC
"Washington, DC","$2,293,350",Infrastructure,Public Transportation,"This project will restore DC Neighborhood Connect microtransit service in Wards 1, 4, 5, and 8 that were paused due to the COVID-19 public health emergency.",Revenue Replacement,Provision of Government Services,Washington,DC
"Washington, DC","$34,000,000",Infrastructure,Roadways And Bridges,This investment will add or accelerate projects to enhance pedestrian and bicycle safety and overall aesthetics of select street segments throught the District.,Revenue Replacement,Provision of Government Services,Washington,DC
"Washington, DC","$1,350,000",Infrastructure,Roadways And Bridges,This investment will allow DDOT to open and operate a new Adaptive Bikeshare hub at Union Station. This is a pilot program that DDOT hopes to launch and monitor in early FY 2022. Funds will be dispersed as grant .,Revenue Replacement,Provision of Government Services,Washington,DC
"Washington, DC","$750,000",Infrastructure,Roadways And Bridges,"This investment will expand the District’s Protected Bicycle Lane network, improving safety, encouraging cycling, and providing additional amenities for more residents of the District.",Revenue Replacement,Provision of Government Services,Washington,DC
"Washington, DC","$3,599,000",Infrastructure,Roadways And Bridges,"This investment will implement small-scale, neighborhood-specific bicycle, pedestrian, and other safety and aesthetic enhancements in Wards 5 and 7, as recommended in completed Livability Studies in these areas.",Revenue Replacement,Provision of Government Services,Washington,DC
"Washington, DC","$200,000",Infrastructure,Sewer And Water,One-time funding to install a water connection for the Kingman Park-Rosedale Community Garden.,Revenue Replacement,Provision of Government Services,Washington,DC
"Washington, DC","$300,000",Other,Other,"The project will identify opportunities to establish Washington, DC as a nationally-recognized locale for competitive high school and post-secondary sports for residents, to help develop and retain secondary and post-secondary athletes, and attract new student athletes to the city. The types of opportunities to be explored include sports programming, athletic league development, human capital development (e.g., coaches), and facilities and field space. These funds will be used to hire personnel to execute stakeholder facilitation and synthesize research & analysis into a final set of recommendations.",Revenue Replacement,Provision of Government Services,Washington,DC
"Washington, DC","$3,000,000",Other,Other,This project will fund the portion of the Childhood Lead Exposure Act of 2017 that pertains to the Public Charter Schools in DC.,Infrastructure,Drinking water: Transmission & Distribution: Lead Remediation,Washington,DC
"Washington, DC","$1,000,000",Public Health,Covid Response,COVID-19 Quarantine facility for children (foster care and community) ages 1 through 21.,Services to Disproportionately Impacted Communities,Housing Support: Other Housing Assistance,Washington,DC
"Washington, DC","$14,864,699",Public Health,Covid Response,"Resources will be allocated for contract security guards at specific locations providing COVIDrelated services. For example, contract security guards will be assigned at all isolation and quarantine (ISAQ/PEP V) locations. Individuals housed at these sites are those experiencing homelessness and thought to be at the greatest risk for severe complications and/or death as a result of COVID-19 exposure. Security will also be assigned to testing and vaccination sites, which are available to all District workers and residents.",Public Health,"Other COVID-19 Public Health Expenses (including Communications, Enforcement, Isolation/Quarantine)",Washington,DC
"Washington, DC","$6,581,089",Public Health,Covid Response,"This investment aims to improve air circulation and increase ventilation to help reduce the concentration of airborne contaminants, including viruses, indoors. Special consideration is given to areas of high occupancy (e.g., schools) to ensure that high-traffic areas have additional and improved ventilation (MERV 13 filters, HEPA filters, HVAC improvements, etc.). In addition, the Department of General Services will install physical barriers and other improvements to reduce the chance of direct person-to-person droplet transmission as a supplemental measure to face covering and social distancing.",Public Health,"Prevention in Congregate Settings (Nursing  Homes, Prisons/Jails, Dense Work Sites, Schools, etc.)",Washington,DC
"Washington, DC","$601,715",Public Health,Covid Response,"This investment aims to prevent and control the spread of germs by encouraging residents and visitors to wash hands with soap and water, particularly in resource-limited settings. To make it easier to clean hands, the District launched mobile hand hygiene stations and placed them at various locations throughout the city, including Metro stations, outside public buildings, and areas where quick and easy access to clean water may prove more challenging.",Public Health,Other Public Health Services,Washington,DC
"Washington, DC","$4,000,000",Public Health,Covid Response,This investment increased resident interest in vaccination by providing DC Residents 18+ who got their first shot June 1-July 3 with a $51 gift card sent to their home. Gift cards continue to be distributed at clinics as an incentive to receive the COVID-19 vaccination.,Public Health,COVID-19 Vaccination,Washington,DC
"Washington, DC","$17,561,240",Public Health,Covid Response,This investment will allow the continued purchase of personal protective equipment needed by District Government employees to continue the fight against COVID-19.,Public Health,Personal Protective Equipment,Washington,DC
"Washington, DC","$32,532",Public Health,Covid Response,"This investment will allow the Emergency Operations Center to continue providing outsourced COVID-19 testing to District residents (supplementing the testing conducted in-house by the Department of Forensic Sciences). With the pandemic still occurring, this funding is paramount to continue serving the needs of District's residents.",Public Health,COVID-19 Testing,Washington,DC
"Washington, DC","$1,335,000",Public Health,Covid Response,This investment will be used for COVID Call Center technology implementation and maintenance in support of the District’s COVID-19 response and recovery efforts where these costs are not eligible for reimbursement by FEMA Public Assistance.,Public Health,"Other COVID-19 Public Health Expenses (including Communications, Enforcement, Isolation/Quarantine)",Washington,DC
"Washington, DC","$302,670",Public Health,Covid Response,This investment will be used for DC Health Mobile Testing Solution and Vaccine Registration technology implementation and maintenance in support of the District’s COVID-19 response and recovery efforts where these costs are not eligible for reimbursement by FEMA Public Assistance.,Public Health,COVID-19 Vaccination,Washington,DC
"Washington, DC","$4,460,000",Public Health,Covid Response,This investment will support continued communication to District residents about the importance of getting vaccinated and tested for COVID-19. Funds will also be used for Fatality Management and for various essential wraparound services for District operations.,Administrative,Administrative Expenses,Washington,DC
"Washington, DC","$5,000,000",Public Health,Covid Response,This project is a partnership with community-based organizations to provide community outreach to increase vaccination rates in underserved communities.,Public Health,COVID-19 Vaccination,Washington,DC
"Washington, DC","$18,200,000",Public Health,Covid Response,This project reimburses the District for COVID-19 related cleaning and ventilation services for District government facilities in cases where costs were incurred using local funds due to the exhaustion of Coronavirus Relief Funds provided in the CARES Act and ineligiblity for FEMA Public Assistance. Some funds may be reallocated in the District's next Recovery Plan in light of subsequent changes in Public Assistance eligibility.,Public Health,CapitalInvestments or Physical Plant Changes to Public Facilities that respond to the COVID-19 public health emergency,Washington,DC
"Washington, DC","$42,063,476",Public Health,Covid Response,"This project supports modifications to operations in homeless shelters to control and prevent COVID-19 infection. Modified shelter protocols have been put in place including expanded hours, grab and go meals, conducting medical screenings, and providing personal protective equipment.",Services to Disproportionately Impacted Communities,Housing Support: Services for Unhoused Persons,Washington,DC
"Washington, DC","$4,949,804",Public Health,Covid Response,"This project will support ongoing COVID-19 testing and monitoring by the District's Public Health Lab at the Department of Forensic Sciences (DFS). From March 2020 to August 2021, DFS has tested nearly 280,000 samples for the detection of the SARS-CoV-2 virus (COVID-19). Going forward, the funds in this project will also be used in conjunction with other Federal and local funds to support the growing need for rapid genomic sequencing for the detection of SARS-CoV-2 variants of concern, to assist epidemiologists and health officials in understanding how the virus is spreading and evolving. Since January 2021, DC has genomically sequenced 1,000 samples.",Public Health,COVID-19 Testing,Washington,DC
"Washington, DC","$1,000,000",Public Health,Mental Health,"This investment will allow OSSE to implement a school mental/behavioral health crisis policy technical assistance program, which will help LEAs build their schools' capacity to assess and respond to student crises through vendor and OSSE facilitated consultation. OSSE will work to begin vendor-facilitated engagements in early 2022, and begin with charter LEAs newly opened in SY20-21 and SY21-22.",Services to Disproportionately Impacted Communities,"Education Assistance: Social, Emotional, and Mental Health Services",Washington,DC
"Washington, DC","$5,184,560",Public Health,Mental Health,"This investment will create new capacity among community partners to ensure same day access to trauma-informed mental health services for victims of gun violence, as well as alternative healing options and advocacy services. This includes alternative therapies like healing circles, art based therapies, mentor programs and traditional based trauma informed therapies like cognitive behavioral therapy.",Services to Disproportionately Impacted Communities,Social Determinants of Health: Community Violence Interventions,Washington,DC
"Washington, DC","$2,051,250",Public Health,Mental Health,This investment will create new capacity among community partners to provide trauma-informed mental health services in coordination with violence intervention programs and activities.,Services to Disproportionately Impacted Communities,Social Determinants of Health: Community Violence Interventions,Washington,DC
"Washington, DC","$15,222,375",Public Health,Mental Health,This project will expand the Community Response Team and Access Helpline at the Department of Behavioral Health (DBH) to provide a clinical rather than automatic law enforcement response to certain mental health related 911 calls.,Public Health,Mental Health Services,Washington,DC
"Washington, DC","$881,331",Public Health,Mental Health,This project will fund mental health consultation services and an online Healthy Teachers support group to help District teachers and staff manage stressors related to the impact of COVID and enhance resilience.,Public Health,Mental Health Services,Washington,DC
"Washington, DC","$5,485,538",Public Health,Mental Health,"This project will support emergency psychiatric care at the District’s emergency facility (CPEP) and inpatient care at Saint Elizabeths Hospital. Both facilities have additional costs related to proper infection control and mitigation activities while maintaining operations and clinical care. The funds will support certified nursing assistants for COVID-19 testing, temporary nurses and housekeeping staff, PPE and supplies, security, and transportation.",Public Health,Mental Health Services,Washington,DC
"Washington, DC","$4,324,556",Public Health,Mental Health,This project will support the expansion of school-based behavioral health services to all public schools in the District.,Revenue Replacement,Provision of Government Services,Washington,DC
"Washington, DC","$8,482,000",Public Health,Other Public Health,"Howard University is establishing or expanding five DC Health-approved Centers of Excellence (CoEs): sickle cell disease, women’s health, substance use and co-occurring disorders, trauma care and violence prevention, and oral health.",Public Health,Other Public Health Services,Washington,DC
"Washington, DC","$4,500,000",Public Health,Other Public Health,"The Collaborative builds on past and current technical assistance to serve as a community-wide place for best practices and learning and provide individualized practice support for providers. It will support healthcare providers in delivering whole-person care across the care continuum, using population health analytics to address complex medical, behavioral health, and social needs, and transition to value-based purchasing.",Public Health,Other Public Health Services,Washington,DC
"Washington, DC","$1,440,000",Public Health,Other Public Health,The initial funding will be utilized to begin a study and assessment to measure improvements to maternal health outcomes from doula support for Medicaid and Alliance participants. The results of this study will be utilized to design a program that aligns with the Mayors Maternal and Child Health Initiatives and the Maternal Health resource and Access Act of 2021 introduced by Councilwoman George.,Revenue Replacement,Provision of Government Services,Washington,DC
"Washington, DC","$50,000",Public Health,Other Public Health,"The LGBTQ Health report serves as a descriptive assessment of the health of the LGBT community in Washington, DC. Data presented in the report is designed to 1) increase public awareness of the overall health of the LGBT community in the District of Columbia 2) provide baseline data that may be used to support funding proposals and develop reports that help guide decisions for improving the health of the LGBT community 3) Highlight issues, determine needs, evaluate methodology, identify gaps and prioritize serice areas 4) improve culturally competent medical care and prevemtion servces to the LGBTQ population and 5) Monitor progress toward acheiving LGBTQ Health People objectives",Revenue Replacement,Provision of Government Services,Washington,DC
"Washington, DC","$802,138",Public Health,Other Public Health,This investment will enable people with Intellectual and Developmental Disabilities (I/DD) to remotely access physicians on demand. The intent of this investment is to: (1) Reduce the total number of emergency room visits per year among people with I/DD; (2) Reduce the total number of unplanned inpatient hospitalizations per year among people with I/DD; and (3) Achieve long-term improvement of health outcomes for people with I/DD.,Public Health,Other Public Health Services,Washington,DC
"Washington, DC","$1,000,000",Public Health,Other Public Health,"This investment will expand Produce Rx, an initiative supported by the District to connect residents with diet-related chronic health conditions such as diabetes, stroke, heart disease, certain cancers, and HIV with evidence-informed food access interventions in an effort to cost effectively improve health outcomes, decrease utilization of expensive health services, and enhance quality of life for these individuals who are often socially, as well as medically, vulnerable. The expansion will be implemented from October 2021 to September 2022. Produce Rx aims to strengthen and support clinical-community linkages to connect and build coordination among health care providers, community organizations and government agencies. Patients are provided weekly vouchers for fresh fruits and vegetables by their health care provider to be redeemed at a retail grocery stores. These funds will be utilized to expand the initiative to recruit additional health care providers to participate and reach additional residents. Funds will also be utilized to support additional performance oversight of the grantee. Intended outcomes include improved chronic disease indicators and increased food security.",Negative Economic Impacts,Household Assistance: Food Programs,Washington,DC
"Washington, DC","$3,590,000",Public Health,Other Public Health,"This project will expand telehealth services to 4,150 District residents to support continuity of care in a safe home environment, minimize psychiatric crisis episodes that could lead to emergency room visits, and decrease social isolation—a known trigger for substance use.",Public Health,Mental Health Services,Washington,DC
"Washington, DC","$3,444,000",Public Health,Other Public Health,This project will support Intensive Care Coordination teams to improve behavioral health outcomes and adherence for individuals that have been disconnected from care.,Public Health,Mental Health Services,Washington,DC
"Washington, DC","$359,000",Public Health,Substance Abuse And Addiction,This project will fund a provision of the Opioid Overdose Treatment and Prevention Omnibus Amendment Act of 2020 requiring the Metropolitan Police Department to provide opioid antagonist rescue kits to certain District employees and create guidance regarding their distribution and administration for the purposes of overdose treatment and prevention.,Public Health,Substance Use Services,Washington,DC
"Washington, DC","$750,585",Public Safety,Other Public Safety,This investment will add call center staff to support a pilot project to route 911 calls about nonemergency traffic crashes to DDOT.,Revenue Replacement,Provision of Government Services,Washington,DC
"Washington, DC","$950,000",Public Safety,Other Public Safety,"This investment will help to publicize the Building Blocks DC initiative in relevant neighborhoods, and inform the public about what BBDC is doing. In FY21, we will focus on giveaway products and some public advertising. In following years, the focus will be more on public information campaigns in public transportation, social media, and printed materials to give out at events.",Revenue Replacement,Provision of Government Services,Washington,DC
"Washington, DC","$1,748,640",Public Safety,Other Public Safety,This investment will support Alternatives to calling 9-1-1 or dispatching law enforcement for certain categories of calls for service. Funds will be used to add capacity in the form of technology resources; 9-1-1 call takers to handle additonal program related call volume; and training for 9-1-1 staff.,Revenue Replacement,Provision of Government Services,Washington,DC
"Washington, DC","$1,425,000",Public Safety,Violence Reduction And Prevention,"Funds will be used to expand access for returning citizens and persons at high risk of being involved in gun violence to the Resources to Empower and Develop You (READY) Center, a ""one-stop shop"" for DC residents to get connected to government services including those provided by the DMV, DOES, DHS and other partners.",Revenue Replacement,Provision of Government Services,Washington,DC
"Washington, DC","$1,138,000",Public Safety,Violence Reduction And Prevention,"The Building Blocks DC’s (BBDC) Theory of Change is to create sustained reductions in gun violence in the District by providing services and opportunities to support vibrant communities where the residents are empowered to co-create public safety. BBDC’s commitment to interrupt violence and provide opportunities to the community is an integral part of the everyday work for each of the team members involved in this initiative. The BBDC team is responsible for the creation of a datainformed, evidence-based, and community-empowered strategy. BBDC is centered around an Emergency Operations Center (EOC) infrastructure to allow for a coordinated collective action. Under this model, BBDC is taking a three-systems approach to reducing gun violence: PersonBased, Place-Based, and Services-Based. As BBDC builds out their processes and data sharing and integrations needs, the OCTO Digital Services team will work to discover automation and integration needs to build a solution that helps the new entity serve its mission.",Revenue Replacement,Provision of Government Services,Washington,DC
"Washington, DC","$9,943,870",Public Safety,Violence Reduction And Prevention,This funding supports four new Cure the Streets locations. Cure the Streets is a violence interruption program that aims to reduce gun violence in communities with high incidents of gun violence.,Revenue Replacement,Provision of Government Services,Washington,DC
"Washington, DC","$10,500,000",Public Safety,Violence Reduction And Prevention,"This initiative is designed to award grants to community orgranizations which propose innovative programming or activities to support reductions in gun violence for District of Columbia communities. Projects and programs are various, however, they can all be classified under the banners of community healing, revitalization, or wealth.",Revenue Replacement,Provision of Government Services,Washington,DC
"Washington, DC","$24,128,530",Public Safety,Violence Reduction And Prevention,This investment will add additional community navigators to expand the scope of violence intervention services in Building Blocks DC neighborhoods.,Services to Disproportionately Impacted Communities,Social Determinants of Health: Community Violence Interventions,Washington,DC
"Washington, DC","$19,605,000",Public Safety,Violence Reduction And Prevention,"This investment will be used to support the District’s Building Blocks Initaitive by providing resources to the Department of Parks and Recreation’s (DPR) to combat violence prevention through recreational programs and activities for at-risk youth and young adults by expanding late-night hours and programs, mobile recreation, and the FitDC3 Initiative for the summer season. DPR will will expand hours and programming at three (3) locations, including organizing up to nine (18) FitDC3 events, and expand mobile recreation activations by six (6) events for the FY 21 summer season, which is three (3) months. Late-night hours will expand the operating hours from 9 PM to 11 PM a up to five (5) night per week.",Revenue Replacement,Provision of Government Services,Washington,DC
"Washington, DC","$60,000",Public Safety,Violence Reduction And Prevention,"This investment will create a pilot program to educate community and neighborhood leaders on strategies to de-escalate situations and mediate differences to reduce the need for 911 calls related to minor disputes. Funds will be used on program implementation, training and outreach to launch and maintain the program.",Services to Disproportionately Impacted Communities,Social Determinants of Health: Community Violence Interventions,Washington,DC
"Washington, DC","$13,604,583",Public Safety,Violence Reduction And Prevention,"This investment will expand the Pathways program to a second location with 3 cohorts of 25 participants, serving 75 additional residents at high risk of being involved in gun violence.",Services to Disproportionately Impacted Communities,Social Determinants of Health: Community Violence Interventions,Washington,DC
"Washington, DC","$525,000",Public Safety,Violence Reduction And Prevention,"This project will provide transportation services to support the Building Blocks DC gun violence prevention initiative. Transportation will be provided by for-hire vehicles to connect individuals at risk of committing or being the victim of gun violence to trauma and victim support services, crime prevention initiatives, or to job trainings or job seeking activities.",Services to Disproportionately Impacted Communities,Social Determinants of Health: Community Violence Interventions,Washington,DC
"Washington, DC","$1,524,000",Public Safety,Violence Reduction And Prevention,"UDC has an ongoing partnership with the Gun Violence Prevention Program to develop a nonacademic certification program across four weeks for the District. This certification process ensures that outreach workers and other professionals that may encounter youth or other at-risk populations in their work are consistently and effectively trained in best practices for working with young people and/or the target population, with a concentrated focus on youth at risk of or experiencing homelessness and/or sexual exploitation. The certification curriculum involves more than fifty hours of training, consisting of classroom discussion and fieldwork. Trainees participate in two three-day classroom sessions (called Classroom 101 and 201). After initial discussion (Classroom 101), trainees will be required to complete guided fieldwork before their next session (Classroom 201). The fieldwork is designed to prepare trainees for the second classroom session’s practical application and problem-solving activities. After their second classroom session, trainees will complete the second set of fieldwork and an evaluation, at which point trainees will be certified.",Services to Disproportionately Impacted Communities,Social Determinants of Health: Community Violence Interventions,Washington,DC
"Washoe County, NV","$612,000",Housing,Homelessness,HSA is establishing a pilot program for supportive housing of persons with intellectual or developmental disabilities or mental health conditions that impede their ability to live with complete independence.,Services to Disproportionately Impacted Communities,Housing Support: Services for Unhoused Persons,Washoe County,NV
"Washoe County, NV","$4,500,000",Housing,Homelessness,This project is focused on making physical improvements to the land where the Washoe County Safe Camp is located. This project is a low-barrier trauma-informed shelter environment comprised of 45 tents.,Services to Disproportionately Impacted Communities,Housing Support: Services for Unhoused Persons,Washoe County,NV
"Washoe County, NV","$4,000,000",Housing,Homelessness,"This project is focused on making physical land improvements as well as structural additions and changes to the Nevada Cares Campus. The Nevada Cares Campus is the region’s low-barrier emergency homeless shelter with a 600-bed capacity for single adult men, women, and couples.",Services to Disproportionately Impacted Communities,Housing Support: Services for Unhoused Persons,Washoe County,NV
"Waukesha County, WI","$50,000",Government Operations Investments,Government Employee Wages Or Hiring,"New senior financial position, consulting services, economic and labor data subscription.",Administrative,Administrative Expenses,Waukesha County,WI
"Waukesha County, WI","$730,000",Government Operations Investments,"Investment In Government Facility, Equipment, And/Or IT",This project includes the creation of a contract management module to allow for Health and Human Services to effectively and efficiently manage the life cycle of contracts and grants versus current paper-based process.,Public Health,Other Public Health Services,Waukesha County,WI
"Waukesha County, WI","$1,500,000",Public Health,Covid Response,"through disease investigation, supporting testing efforts, and providing Waukesha County 2021 Recovery Plan Performance Report 11 support for community vaccination efforts as additional age groups are eligible to receive vaccinations.",Public Health, ,Waukesha County,WI
"Westmoreland County, PA","$257,780",Government Operations Investments,Government Employee Wages Or Hiring,"In May 2021, judge of elections and poll workers were required to attend training for the primary election as well as be located at their designated precinct. Funding supported these operations.",Premium Pay,Public Sector Employees,Westmoreland County,PA
